Ticker,Nama,Sektor,Industri,Indeks,Harga,MCap_MiliarUSD,Tanggal_Data,Bar,Basis,Periode_Lapkeu,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,EV_EBITDA,PE_TTM,PB,EBITDA_EV,E_P,FCF_Yield,Z_Value,ROIC,ROE,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,Akrual,ROA_Variabilitas5T,OCF_Laba,F_Score,Z_Altman,Cakupan_Bunga,Z_Quality,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,DivYield,Buyback_Yield,Shareholder_Yield,Rev_YoY,Laba_YoY,Dilusi_YoY,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag,Keyakinan
MATX,"Matson, Inc.",Industrials,Marine Transportation,SP600,230.18,6.88,2026-09-11,499.0,TTM-4Q,2026-06-30,51.7,1.06,True,,14.8,2.48,,6.7,,0.73,14.3,17.2,,1.4,,-2.6,9.0,1.26,6.0,3.95,79.5,0.17,110.1,44.2,2.19,2.31,96.0,35.3,0.92,-18.1,0.63,0.65,3.82,4.46,-0.2,-6.1,-6.5,214.26,187.82,173.95,True,232.42,86.97,5.51,65.9,11.7,True,True,,100.0
SN,SharkNinja,Consumer Discretionary,Household Appliances,SP400,160.8,22.65,2026-09-11,499.0,FY,2025-12-31,280.6,1.67,True,21.3,32.3,8.46,4.7,3.1,2.2,-0.87,23.4,30.4,49.0,4.7,-0.04,1.4,3.7,0.9,6.0,7.68,999.0,0.09,60.4,83.1,1.66,2.3,88.0,43.1,1.67,-27.7,-0.46,0.0,0.0,0.0,15.7,59.9,0.7,168.28,134.89,129.77,True,194.54,83.12,6.63,34.4,14.5,False,False,,75.0
MSGS,Madison Square Garden Sports Corp.,Communication Services,Movies & Entertainment,SP600,392.07,9.48,2026-09-11,499.0,TTM-4Q,2026-06-30,96.1,1.32,True,298.6,1221.2,,0.3,0.1,0.6,-0.82,196.3,,,,2.93,-3.6,2.3,8.08,8.0,3.6,1.4,2.69,101.7,32.6,2.28,2.3,89.0,29.5,0.58,-10.1,1.23,0.0,0.0,0.0,11.0,,0.7,394.8,357.42,332.2,True,438.93,204.42,9.79,48.2,-3.9,False,False,GOODWILL,100.0
PANW,Palo Alto Networks,Information Technology,Systems Software,SP500;NDX,330.65,270.47,2026-09-11,499.0,TTM-4Q,2026-07-31,2139.1,0.77,True,173.7,881.0,9.84,0.6,0.1,1.5,-0.69,2.4,1.7,70.4,2.0,-0.84,-11.8,5.9,14.83,4.0,8.07,999.0,0.19,96.1,130.2,2.51,2.26,94.0,45.0,1.44,-36.0,0.43,0.0,0.37,0.37,24.5,-72.9,7.8,349.54,252.71,235.93,True,398.88,139.57,17.24,43.0,14.2,False,False,DILUSI,90.0
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,SP500,395.93,111.19,2026-09-11,499.0,TTM-4Q,2026-06-30,883.2,1.0,True,7.8,13.0,5.83,12.8,7.7,11.6,0.38,20.7,47.9,12.5,2.4,1.44,-9.9,4.6,2.0,9.0,3.85,8.7,0.66,94.3,51.9,2.14,2.25,97.0,34.1,0.51,-18.3,0.54,1.04,4.43,5.48,15.0,300.7,-5.5,333.01,268.02,245.73,True,409.11,161.93,11.37,74.4,46.5,False,True,,100.0
HZO,"MarineMax, Inc.",Consumer Discretionary,Specialty Stores,SP600,52.21,1.15,2026-09-11,499.0,TTM-4Q,2026-06-30,38.6,1.02,True,16.6,289.3,1.21,6.0,0.3,15.4,0.3,3.3,0.4,34.2,1.2,6.77,-8.9,7.7,54.94,7.0,2.07,1.1,-0.66,105.3,97.8,1.65,2.22,98.0,61.5,1.61,-23.8,-0.89,0.0,0.0,0.0,-5.4,,7.6,43.16,34.75,32.57,True,52.46,21.42,0.6,80.5,49.9,False,True,DILUSI,100.0
PEB,Pebblebrook Hotel Trust,Real Estate,Hotel & Resort REITs,SP600,17.84,2.01,2026-09-11,499.0,TTM-4Q,2026-06-30,34.7,1.39,True,,,0.83,,-2.3,10.3,0.42,1.1,-1.8,,1.0,,-6.0,0.9,,4.0,,0.6,-0.96,58.2,52.9,1.73,2.17,87.0,32.1,1.07,-16.4,-1.09,0.23,3.52,3.75,2.1,,7.4,18.5,15.75,14.7,True,19.93,9.99,0.55,44.8,-2.9,False,False,DILUSI,100.0
RS,"Reliance, Inc.",Materials,Steel,SP400,394.21,20.12,2026-09-11,499.0,TTM-4Q,2026-03-31,134.2,0.87,True,15.6,25.0,2.83,6.4,4.0,3.0,-0.23,9.7,11.3,,,1.04,-1.1,4.3,1.14,7.0,6.32,18.6,-0.13,47.9,43.2,1.86,2.16,75.0,24.5,0.86,-19.0,0.92,0.0,2.86,2.86,8.5,4.2,-2.7,398.69,364.33,349.24,True,433.02,260.31,11.33,47.0,-7.3,False,False,,100.0
LXP,Lexington Realty Trust,Real Estate,Diversified REITs,SP600,60.84,3.59,2026-09-11,499.0,TTM-4Q,2026-06-30,42.1,1.08,True,15.1,55.3,1.84,6.6,1.8,,-0.35,3.9,3.2,81.5,1.5,4.13,-3.5,3.4,2.95,6.0,,2.4,0.05,42.3,33.2,1.74,2.15,83.0,21.7,0.56,-10.7,0.39,4.67,0.0,4.67,-4.2,-25.9,-0.6,59.7,53.43,52.49,True,61.61,44.0,0.28,61.9,11.7,False,True,,100.0
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,SP500,390.42,112.41,2026-09-11,499.0,TTM-4Q,2026-06-30,881.7,1.28,True,9.9,15.6,4.5,10.1,6.4,,-0.36,20.0,29.4,8.0,,0.3,-6.0,6.8,1.51,9.0,5.87,17.8,0.23,112.8,41.2,2.14,2.14,98.0,35.9,0.56,-12.1,0.66,1.25,4.29,5.54,12.6,844.0,-5.8,324.85,266.18,243.86,True,399.26,155.29,11.05,78.6,47.4,True,True,,100.0
