Ticker,Nama,Sektor,Industri,Indeks,Harga,MCap_MiliarUSD,Tanggal_Data,Bar,Basis,Periode_Lapkeu,Earnings_Berikut,Hari_Ke_Earnings,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,EV_EBITDA,PE_TTM,PB,PE_Fwd,EBITDA_EV,E_P,FCF_Yield,Z_Value,ROIC,ROE,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,Akrual,ROA_Variabilitas5T,OCF_Laba,F_Score,Z_Altman,Cakupan_Bunga,Z_Quality,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,Rev_CAGR3,EPS_CAGR3,Target_Rata,Target_Upside,Target_Revisi,Rekom_Rata,Jumlah_Analis,Surprise_Terakhir,Z_Growth,Insider_Net90H_JutaUSD,Insider_Beli90H_JutaUSD,Insider_Jual90H_JutaUSD,Insider_Pembeli90H,Insider_ClusterBuy,Insider_Net_PctMCap,Insider_Terakhir,Institusi_Pct,Institusi_Delta,Short_PctFloat,Short_Ratio,Z_SmartMoney,DivYield,Buyback_Yield,Shareholder_Yield,Rev_YoY,Laba_YoY,Dilusi_YoY,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag,Keyakinan
ELV,Elevance Health,Health Care,Managed Health Care,SP500,414.24,89.84,2026-09-17,501.0,TTM-4Q,2026-06-30,2026-10-21,24.0,432.1,1.11,True,12.2,18.1,2.0,14.0,8.2,5.5,7.0,0.69,6.1,11.2,89.1,1.3,-0.7,-2.0,0.6,1.5,7.0,3.02,3.8,0.74,30.5,35.6,0.93,0.39,78.0,35.6,0.44,-26.5,0.66,,,450.05,8.6,,1.77,21.0,20.0,-0.24,1.37,1.37,0.0,2.0,True,0.002,2026-07-17,94.1,,2.83,6.1,1.13,1.67,3.01,4.68,6.3,-7.4,-3.5,397.4,366.8,362.69,True,436.24,274.84,10.7,56.2,2.9,False,True,,100.0
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,SP400,26.5,2.76,2026-09-17,501.0,TTM-4Q,2026-06-30,,,45.3,1.08,True,8.0,13.6,0.89,13.2,12.6,7.3,-4.8,-0.28,1.9,6.3,33.4,,0.89,2.1,1.3,-0.0,5.0,2.17,8.4,-1.22,-7.0,59.6,0.69,0.94,70.0,38.4,0.86,-41.7,0.02,,,28.18,6.3,,2.5,11.0,,-0.86,1.44,1.44,0.0,3.0,True,0.052,2026-09-01,111.7,,23.08,9.4,1.12,3.0,13.07,16.08,-5.2,-16.5,-11.2,26.74,23.83,23.15,True,31.25,17.09,0.94,44.7,1.3,False,False,SHORT-TINGGI,100.0
REZI,"Resideo Technologies, Inc.",Industrials,Trading Companies & Distributors,SP600,18.51,2.81,2026-09-17,501.0,TTM-4Q,2026-07-04,,,42.2,0.74,True,8.1,6.6,0.94,,12.4,15.2,-49.8,0.45,8.2,15.2,29.6,0.8,4.23,19.6,4.0,-2.97,4.0,1.72,2.9,-1.66,-23.7,-10.1,-0.28,-1.12,7.0,61.2,1.72,-40.2,-1.55,,,,,,,,,,0.85,0.85,0.0,3.0,True,0.03,2026-08-17,,,,,1.1,0.0,0.0,0.0,3.4,,3.4,22.21,23.46,23.79,False,31.52,18.45,0.89,35.4,-15.0,False,False,ZONA-BAHAYA;GOODWILL,100.0
DKS,Dick's Sporting Goods,Consumer Discretionary,Specialty Stores,SP400,123.96,11.17,2026-09-17,501.0,TTM-4Q,2026-08-01,2026-11-24,48.0,811.7,0.58,True,6.9,13.3,1.95,9.3,14.5,7.5,2.1,0.09,13.5,18.5,32.1,1.8,0.56,-5.2,3.8,1.9,5.0,2.62,16.4,-0.08,-12.4,1.9,-0.1,-0.49,2.0,51.9,1.2,-48.0,-0.98,,,163.22,31.7,,2.22,23.0,-6.2,1.62,3.84,3.84,0.0,4.0,True,0.034,2026-09-01,107.4,,16.68,1.8,1.1,3.96,1.65,5.61,53.5,-28.5,11.2,179.31,202.35,204.3,False,244.38,120.4,6.94,25.2,-46.4,False,False,DILUSI,90.0
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",SP400,12.93,5.06,2026-09-17,501.0,TTM-4Q,2026-03-28,,,83.3,0.83,True,9.1,19.9,2.74,,11.0,5.0,11.0,0.29,8.0,15.3,54.8,1.2,3.16,-4.5,5.8,2.63,8.0,1.74,3.5,-0.05,-1.1,-12.2,-0.13,-0.59,7.0,49.8,1.82,-40.7,-1.25,,,,,,,,,,0.79,0.79,0.0,2.0,True,0.016,2026-08-13,,,,,1.09,2.78,0.0,2.78,1.1,,0.8,14.85,16.85,17.46,False,22.27,12.46,0.48,38.6,-24.8,False,False,ZONA-BAHAYA,100.0
KMX,"CarMax, Inc.",Consumer Discretionary,Automotive Retail,SP600,58.36,8.28,2026-09-17,501.0,TTM-4Q,2026-05-31,,,100.1,1.09,True,32.2,37.2,1.35,19.0,3.1,2.7,12.0,-0.14,1.3,3.6,10.5,0.6,21.82,-4.7,1.3,6.75,5.0,1.68,4.1,-1.97,-4.9,37.3,0.28,0.18,81.0,57.4,0.64,-48.8,-0.66,,,54.85,-6.0,,,13.0,,-0.87,1.02,1.02,0.0,5.0,True,0.012,2026-06-25,105.1,,8.97,6.4,1.09,0.0,5.33,5.33,-1.6,-60.2,-6.9,59.18,48.71,47.25,True,65.28,30.26,1.81,42.3,19.5,False,False,ZONA-BAHAYA,100.0
UBER,Uber,Industrials,Passenger Ground Transportation,SP500,70.88,144.78,2026-09-17,501.0,TTM-4Q,2026-06-30,,,1298.9,1.12,True,20.7,15.1,5.3,,4.8,6.6,7.0,-0.02,17.4,38.4,,,1.25,-1.4,16.9,1.09,5.0,3.29,14.5,0.27,-23.7,-2.6,-0.37,-1.2,19.0,35.7,1.2,-34.1,-0.15,,,,,,,,,0.16,15.31,15.31,0.0,2.0,True,0.011,2026-09-10,,,,,1.09,0.0,4.77,4.77,16.7,-24.1,-3.5,73.75,73.5,75.75,False,101.99,65.41,2.31,40.3,-2.9,False,False,,100.0
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,SP500,32.82,17.1,2026-09-17,501.0,TTM-4Q,2026-06-27,,,287.4,1.03,True,10.3,9.1,6.5,,9.7,11.0,1.8,-0.31,23.8,73.4,36.5,0.6,1.04,5.2,1.1,0.68,6.0,3.74,19.8,-0.41,-40.1,-23.8,-0.98,-1.89,10.0,32.7,0.63,-50.5,0.14,,,,,,,,,0.33,0.65,0.65,0.0,3.0,True,0.004,2026-08-04,,,,,1.08,2.9,2.6,5.5,4.0,73.0,-1.4,33.15,37.27,41.08,False,60.37,28.36,1.06,41.2,7.2,False,False,,100.0
AMH,American Homes 4 Rent,Real Estate,Single-Family Residential REITs,SP400,31.31,11.3,2026-09-17,501.0,TTM-4Q,2026-06-30,2026-10-28,29.0,71.5,1.43,True,,20.8,1.66,46.3,,4.8,7.3,0.35,,7.8,,,,-2.4,0.7,1.59,,,,,4.1,20.3,0.61,0.38,43.0,19.9,0.26,-16.6,0.75,,,37.2,18.8,,2.08,22.0,111.9,0.47,0.53,0.53,0.0,2.0,True,0.005,2026-09-11,93.3,,4.36,5.3,1.07,4.1,0.0,4.1,4.3,12.2,-2.8,33.45,31.78,31.69,True,35.07,27.22,0.55,26.7,-4.5,False,False,,100.0
PNFP,Pinnacle Financial Partners,Financials,Regional Banks,SP400,96.8,14.63,2026-09-17,501.0,FY,2025-12-31,,,89.1,1.32,True,,22.8,2.08,8.4,,4.4,,-0.56,,9.5,,,,,,,,,999.0,-0.87,12.4,28.6,0.73,0.1,49.0,27.9,1.24,-19.7,-0.15,,,120.1,24.1,,1.71,21.0,,,1.3,1.3,0.0,3.0,True,0.009,2026-09-10,89.4,,3.45,5.0,1.07,0.51,0.14,0.65,,35.1,0.7,102.11,96.65,96.98,True,110.33,81.08,2.5,37.4,-1.6,False,False,,65.0
