Ticker,Nama,Sektor,Industri,Indeks,Harga,MCap_MiliarUSD,Tanggal_Data,Bar,Basis,Periode_Lapkeu,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,EV_EBITDA,PE_TTM,PB,EBITDA_EV,E_P,FCF_Yield,Z_Value,ROIC,ROE,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,Akrual,ROA_Variabilitas5T,OCF_Laba,F_Score,Z_Altman,Cakupan_Bunga,Z_Quality,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,DivYield,Buyback_Yield,Shareholder_Yield,Rev_YoY,Laba_YoY,Dilusi_YoY,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag,Keyakinan
RUSHA,Rush Enterprises,Industrials,Construction Machinery & Heavy Transportation Equipment,SP600,48.31,3.88,2026-09-11,499.0,TTM-4Q,2026-06-30,27.4,0.94,True,7.2,14.6,1.66,13.8,6.8,9.0,1.77,11.2,11.8,19.7,0.7,0.03,-8.7,1.9,2.54,7.0,3.61,10.2,0.15,43.5,31.2,1.23,1.07,71.0,30.4,0.88,-20.0,0.74,1.55,0.0,1.55,-5.9,-7.5,-0.3,51.54,48.18,45.87,True,55.74,30.45,1.43,36.9,1.2,False,False,,100.0
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,SP500,60.0,28.43,2026-09-11,499.0,TTM-4Q,2026-03-31,348.5,0.53,True,7.0,12.8,1.89,14.3,7.8,8.7,1.68,14.1,14.9,,,-0.24,-2.6,0.6,1.24,7.0,6.02,105.6,-0.29,-14.5,-4.2,-0.23,-1.12,32.0,40.7,0.98,-54.8,0.26,2.16,5.67,7.83,6.5,-5.4,-3.6,54.01,55.86,62.5,False,87.03,37.08,2.13,52.3,13.2,False,False,,100.0
MLKN,"MillerKnoll, Inc.",Industrials,Office Services & Supplies,SP600,21.19,1.44,2026-09-11,499.0,TTM-4Q,2026-05-30,12.2,1.16,True,7.4,15.8,1.08,13.5,6.3,5.4,1.64,5.7,7.0,38.8,2.1,3.23,-2.7,1.4,2.18,7.0,1.83,2.8,-0.46,22.8,29.0,0.52,0.05,82.0,49.6,1.38,-37.8,-0.83,3.54,-0.31,3.23,4.7,,0.5,22.42,19.09,18.86,True,24.71,13.77,0.84,38.9,31.2,False,False,,100.0
SCSC,"ScanSource, Inc.",Information Technology,Technology Distributors,SP600,58.19,1.17,2026-09-11,499.0,TTM-4Q,2026-06-30,18.7,0.77,True,9.7,14.9,1.29,10.3,6.7,9.7,1.61,7.3,8.7,13.6,0.7,0.11,-2.4,0.3,1.56,8.0,3.67,15.0,-1.17,20.0,44.6,0.85,0.25,87.0,38.2,1.29,-24.5,1.05,0.0,8.35,8.35,6.1,10.2,-9.0,55.0,45.76,44.57,True,66.78,33.76,2.33,57.6,13.4,False,True,,100.0
LDOS,Leidos,Industrials,Diversified Support Services,SP500,128.86,16.17,2026-09-11,499.0,TTM-4Q,2026-07-03,157.1,1.05,True,9.2,11.8,3.06,10.9,8.5,13.4,1.61,14.9,27.7,17.8,1.5,2.27,-6.3,3.4,1.67,6.0,3.12,999.0,-0.07,-21.4,-18.7,-0.58,-1.7,12.0,34.4,0.81,-49.5,-0.21,1.34,3.72,5.06,3.4,-1.9,-3.1,125.13,139.64,151.97,False,205.77,98.86,4.01,43.5,1.9,False,False,GOODWILL,100.0
SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,Specialty Stores,SP600,15.96,1.49,2026-09-11,499.0,TTM-4Q,2026-06-30,17.4,0.89,True,5.2,7.8,1.71,19.4,12.9,16.1,1.58,14.1,23.5,52.1,0.5,1.55,-6.3,0.9,1.92,7.0,2.89,999.0,0.4,13.3,15.1,0.33,0.13,60.0,43.6,0.97,-30.5,0.1,0.0,6.2,6.2,1.1,-0.9,-5.2,15.72,14.61,14.83,True,17.92,11.54,0.58,47.0,13.6,False,False,,100.0
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,SP600,70.19,1.54,2026-09-11,499.0,TTM-4Q,2026-06-30,25.4,1.09,True,6.3,14.2,2.58,16.0,7.0,11.2,1.58,13.8,21.0,,4.8,-0.25,-5.7,4.9,1.75,7.0,2.48,4.8,-0.27,-22.9,3.6,-0.32,-1.2,11.0,30.5,0.48,-29.0,0.7,0.02,1.44,1.47,30.9,,7.9,77.56,78.24,79.14,False,99.39,69.58,2.08,35.6,-17.0,False,False,DILUSI,100.0
KBR,"KBR, Inc.",Industrials,Diversified Support Services,SP400,36.59,4.61,2026-09-11,499.0,TTM-4Q,2026-07-03,42.5,1.21,True,7.6,10.9,2.82,13.1,9.2,7.7,1.57,13.1,27.2,14.5,1.4,2.49,0.2,4.1,0.96,6.0,2.51,5.0,-0.8,-22.3,4.5,-0.26,-1.06,21.0,33.9,0.73,-38.9,0.21,1.84,3.34,5.18,-3.6,16.2,-1.6,36.88,36.7,38.19,False,52.23,29.94,1.04,45.7,-0.1,False,False,GOODWILL,100.0
HCSG,"Healthcare Services Group, Inc.",Industrials,Environmental & Facilities Services,SP600,21.98,1.51,2026-09-11,499.0,TTM-4Q,2026-06-30,13.2,0.91,True,8.1,12.3,2.91,12.4,8.2,9.8,1.55,24.7,24.7,17.1,0.9,-0.99,-3.9,1.0,1.25,9.0,7.0,999.0,0.65,31.5,7.1,0.47,-0.17,66.0,41.3,1.04,-19.9,0.29,0.0,6.08,6.08,5.2,1037.2,-4.5,22.93,21.54,20.91,True,25.75,15.13,0.65,45.3,-1.7,False,False,,90.0
PCRX,"Pacira BioSciences, Inc.",Health Care,Pharmaceuticals,SP600,25.36,1.01,2026-09-11,499.0,TTM-4Q,2026-06-30,12.8,1.04,True,10.7,69.1,1.5,9.4,1.4,17.8,1.53,1.4,2.0,79.2,3.1,1.07,-12.4,3.3,12.82,9.0,1.97,1.3,0.74,-10.9,0.7,-0.14,-1.02,43.0,37.4,0.56,-29.4,0.43,0.0,14.67,14.67,5.7,,-11.3,25.46,23.98,23.86,True,27.66,18.8,0.74,48.9,4.8,False,False,,100.0
