Ticker,Nama,Sektor,Industri,Indeks,Harga,MCap_MiliarUSD,Tanggal_Data,Bar,Basis,Periode_Lapkeu,Nilai20H_JutaUSD,VolSpike,LolosLikuiditas,EV_EBITDA,PE_TTM,PB,EBITDA_EV,E_P,FCF_Yield,Z_Value,ROIC,ROE,GrossMargin,GM_Stabilitas5T,NetDebt_EBITDA,Akrual,ROA_Variabilitas5T,OCF_Laba,F_Score,Z_Altman,Cakupan_Bunga,Z_Quality,Ret12_1,Ret6_1,Mom_RiskAdj,Z_Momentum,RS_Rating,Vol1T,Beta,MaxDD1T,Z_LowVol,DivYield,Buyback_Yield,Shareholder_Yield,Rev_YoY,Laba_YoY,Dilusi_YoY,MA50,MA150,MA200,MA200_Naik,High52,Low52,ATR14,RSI14,RS_vs_SPX,RS_HighBaru,TrendTemplate,Flag,Keyakinan
TWLO,Twilio,Information Technology,Systems Software,SP400,227.35,34.92,2026-09-11,499.0,TTM-4Q,2026-06-30,414.9,0.68,True,73.9,30.4,3.89,1.4,3.3,,-0.15,3.1,13.5,48.5,1.2,-3.7,0.9,4.2,0.92,5.0,11.22,999.0,-0.53,136.6,96.5,1.98,1.28,95.0,58.8,1.42,-24.7,0.49,0.0,2.49,2.49,17.8,5574.5,0.0,217.67,176.97,165.4,True,258.35,98.44,10.65,50.7,6.2,False,True,,100.0
CFR,Frost Bank,Financials,Regional Banks,SP400,162.92,10.13,2026-09-11,499.0,TTM-4Q,2026-06-30,76.6,0.93,True,,14.8,2.19,,6.8,,-0.05,,15.5,,,,,0.1,,,,999.0,-0.08,36.3,27.4,1.54,1.28,78.0,20.7,0.84,-11.4,0.83,2.54,3.14,5.69,7.4,12.2,-2.9,162.89,148.19,144.19,True,170.8,119.0,3.16,50.1,7.6,False,True,,90.0
TGTX,"TG Therapeutics, Inc.",Health Care,Biotechnology,SP600,53.89,8.25,2026-09-11,499.0,TTM-4Q,2026-06-30,96.8,0.74,True,61.9,18.7,13.66,1.6,5.4,0.2,-0.55,14.6,100.3,82.4,3.4,1.42,36.2,50.1,0.04,6.0,5.28,3.6,-1.17,55.5,83.7,1.55,1.27,94.0,45.0,0.28,-26.9,0.56,0.0,2.16,2.16,76.1,630.2,-3.2,53.59,42.48,39.5,True,59.3,26.76,2.4,50.0,8.3,False,True,LABA-KERTAS,100.0
COHU,"Cohu, Inc.",Information Technology,Semiconductor Materials & Equipment,SP600,57.08,2.7,2026-09-11,499.0,TTM-4Q,2026-06-27,49.2,0.65,True,280.5,,3.49,0.4,-1.4,1.3,-0.68,-3.0,-4.8,,3.3,-22.66,-7.5,8.1,,6.0,4.47,-7.3,0.48,168.6,104.3,2.02,1.26,97.0,67.5,1.74,-46.8,-0.64,0.0,-0.0,-0.0,32.7,,1.4,52.35,46.01,41.0,True,74.6,18.67,3.71,58.0,-5.9,False,True,,100.0
AIZ,Assurant,Financials,Multi-line Insurance,SP500,282.46,13.93,2026-09-11,499.0,TTM-4Q,2026-06-30,86.2,0.88,True,,13.1,2.28,,7.6,,-0.3,,18.3,,,,,0.9,,,,12.8,0.05,35.8,31.0,1.5,1.26,79.0,22.3,0.65,-12.6,0.91,1.27,2.71,3.98,9.4,48.3,-2.5,281.66,251.1,246.93,True,303.94,205.01,5.31,49.9,5.5,False,True,,90.0
LITE,Lumentum,Information Technology,Communications Equipment,SP500;NDX,927.03,83.15,2026-09-11,499.0,TTM-4Q,2026-06-27,3778.2,0.8,True,106.0,,17.91,0.9,-8.3,0.4,-1.38,7.2,-240.0,41.7,9.8,0.63,-133.4,47.5,,5.0,18.16,24.1,0.54,465.5,51.4,2.69,1.24,99.0,96.0,2.12,-42.8,-1.42,0.0,0.0,0.0,83.2,-26876.4,7.2,826.44,812.7,699.35,True,1085.68,144.52,67.7,53.9,0.6,False,True,DILUSI,100.0
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,SP600,84.65,4.24,2026-09-11,499.0,TTM-4Q,2026-06-30,65.1,0.66,True,3.7,4.9,2.14,27.1,20.2,9.7,1.93,35.6,54.7,,4.3,0.43,7.2,8.8,0.65,8.0,4.37,16.9,1.23,133.8,46.4,1.55,1.24,97.0,58.1,-0.0,-26.7,-0.0,0.0,1.91,1.91,13.2,,-2.7,76.4,62.72,56.79,True,87.03,32.24,4.35,62.5,47.5,False,True,,100.0
NWBI,"Northwest Bancshares, Inc.",Financials,Regional Banks,SP600,15.49,2.27,2026-09-11,499.0,TTM-4Q,2026-06-30,12.5,1.11,True,,14.8,1.18,,6.7,,0.22,,8.6,,,,,0.1,,,,999.0,-0.32,33.5,31.8,1.47,1.23,76.0,22.2,0.62,-10.2,1.02,5.18,0.0,5.18,,6.6,,15.45,14.12,13.7,True,16.16,11.25,0.23,51.8,2.6,False,True,,90.0
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,SP600,44.04,4.4,2026-09-11,499.0,TTM-4Q,2026-06-30,54.1,0.57,True,7.3,,1.65,13.6,-3.1,7.2,-0.25,1.5,-4.9,,,1.98,-10.9,6.1,,4.0,2.11,0.9,-0.73,110.8,27.8,1.57,1.22,92.0,44.0,0.87,-26.5,-0.42,2.3,0.0,2.3,16.6,,0.6,38.58,37.2,35.53,True,48.17,20.32,1.71,57.0,8.5,False,True,,100.0
BLFS,"BioLife Solutions, Inc.",Health Care,Health Care Supplies,SP600,34.95,1.71,2026-09-11,499.0,TTM-4Q,2026-06-30,30.7,1.16,True,348.9,29.5,4.07,0.3,3.4,,-0.4,0.8,15.1,,3.1,-17.67,9.8,10.1,0.29,7.0,36.96,999.0,-0.44,32.0,92.7,1.43,1.21,92.0,43.6,1.4,-37.0,-0.72,0.0,0.0,0.0,25.4,,3.1,32.92,25.95,25.65,True,38.1,17.86,1.0,50.6,26.8,False,True,,100.0
EXPD,Expeditors International,Industrials,Air Freight & Logistics,SP500,192.6,25.04,2026-09-11,499.0,TTM-4Q,2026-06-30,141.3,1.15,True,19.4,27.2,11.82,5.2,3.7,3.7,-0.47,41.2,42.6,,2.0,-0.83,-1.1,2.8,1.06,7.0,9.06,999.0,2.34,53.6,30.4,1.35,1.2,86.0,31.0,0.69,-15.9,1.05,0.0,3.6,3.6,6.8,7.7,-3.8,180.37,161.34,159.7,True,193.15,112.95,3.69,65.3,11.7,True,True,,100.0
